"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"60","120","120","120","0.13519162514392216","0.13519162514392216","0.13519162514392216"
"61","122","122","122","0.1346848156013243","0.1346848156013243","0.1346848156013243"
"62","124","124","124","0.1353510226285823","0.1353510226285823","0.1353510226285823"
"63","126","126","126","0.13400824882590692","0.13400824882590692","0.13400824882590692"
"64","128","128","128","0.13387860115203012","0.13387860115203012","0.13387860115203012"
"65","130","130","130","0.131408077784903","0.131408077784903","0.131408077784903"
"66","132","132","132","0.13403147585852784","0.13403147585852784","0.13403147585852784"
"67","134","134","134","0.13253668595821003","0.13253668595821003","0.13253668595821003"
"68","136","136","136","0.13139285532272543","0.13139285532272543","0.13139285532272543"
"69","138","138","138","0.1304742163160397","0.1304742163160397","0.1304742163160397"
"70","140","140","140","0.13221547578567466","0.13221547578567466","0.13221547578567466"
"71","142","142","142","0.13226405875669092","0.13226405875669092","0.13226405875669092"
"72","144","144","144","0.13702347083520608","0.13702347083520608","0.13702347083520608"
"73","146","146","146","0.13358435247258268","0.13358435247258268","0.13358435247258268"
"74","148","148","148","0.13204915706869838","0.13204915706869838","0.13204915706869838"
"75","150","150","150","0.13257125878628961","0.13257125878628961","0.13257125878628961"
"76","152","152","152","0.13002014342997797","0.13002014342997797","0.13002014342997797"
"77","154","154","154","0.1319139875551469","0.1319139875551469","0.1319139875551469"
"78","156","156","156","0.13345748954543263","0.13345748954543263","0.13345748954543263"
"79","158","158","158","0.13345847403711256","0.13345847403711256","0.13345847403711256"
"80","160","160","160","0.13115625357210797","0.13115625357210797","0.13115625357210797"
"81","162","162","162","0.13103202244760584","0.13103202244760584","0.13103202244760584"
"82","164","164","164","0.1300353121741852","0.1300353121741852","0.1300353121741852"
"83","166","166","166","0.13043744176633212","0.13043744176633212","0.13043744176633212"
"84","168","168","168","0.13172649199970413","0.13172649199970413","0.13172649199970413"
"85","170","170","170","0.12987031217152464","0.12987031217152464","0.12987031217152464"
"86","172","172","172","0.13152912730728877","0.13152912730728877","0.13152912730728877"
"87","174","174","174","0.13283950026826913","0.13283950026826913","0.13283950026826913"
"88","176","176","176","0.13145780961848735","0.13145780961848735","0.13145780961848735"
"89","178","178","178","0.1311180410291433","0.1311180410291433","0.1311180410291433"
"90","180","180","180","0.13161156687034983","0.13161156687034983","0.13161156687034983"
"91","182","182","182","0.13256716011347633","0.13256716011347633","0.13256716011347633"
"92","184","184","184","0.13130616934931663","0.13130616934931663","0.13130616934931663"
"93","186","186","186","0.13176970432812116","0.13176970432812116","0.13176970432812116"
"94","188","188","188","0.12942525311913977","0.12942525311913977","0.12942525311913977"
"95","190","190","190","0.130369304663165","0.130369304663165","0.130369304663165"
"96","192","192","192","0.12952359662941787","0.12952359662941787","0.12952359662941787"
"97","194","194","194","0.1343072339511304","0.1343072339511304","0.1343072339511304"
"98","196","196","196","0.12849180872902358","0.12849180872902358","0.12849180872902358"
"99","198","198","198","0.12872128744989164","0.12872128744989164","0.12872128744989164"
"100","200","200","200","0.12923757441735606","0.12923757441735606","0.12923757441735606"
"101","202","202","202","0.12847537582474006","0.12847537582474006","0.12847537582474006"
"102","204","204","204","0.13104401240452043","0.13104401240452043","0.13104401240452043"
"103","206","206","206","0.1288369600180451","0.1288369600180451","0.1288369600180451"
"104","208","208","208","0.1280520874198888","0.1280520874198888","0.1280520874198888"
"105","210","210","210","0.12968693400183626","0.12968693400183626","0.12968693400183626"
"106","212","212","212","0.12805828657809","0.12805828657809","0.12805828657809"
"107","214","214","214","0.12793173191074558","0.12793173191074558","0.12793173191074558"
"108","216","216","216","0.1255898771219588","0.1255898771219588","0.1255898771219588"
"109","218","218","218","0.1259206243908139","0.1259206243908139","0.1259206243908139"
"110","220","220","220","0.126560428002072","0.126560428002072","0.126560428002072"
"111","222","222","222","0.129284599718393","0.129284599718393","0.129284599718393"
"112","224","224","224","0.12648164157544295","0.12648164157544295","0.12648164157544295"
"113","226","226","226","0.1265137050053765","0.1265137050053765","0.1265137050053765"
"114","228","228","228","0.12765070599296643","0.12765070599296643","0.12765070599296643"
"115","230","230","230","0.12840029894566302","0.12840029894566302","0.12840029894566302"
"116","232","232","232","0.12818907500357107","0.12818907500357107","0.12818907500357107"
"117","234","234","234","0.13017517725248742","0.13017517725248742","0.13017517725248742"
"118","236","236","236","0.12616430955383917","0.12616430955383917","0.12616430955383917"
"119","238","238","238","0.12673717058938783","0.12673717058938783","0.12673717058938783"
"120","240","240","240","0.1271767885048577","0.1271767885048577","0.1271767885048577"
"121","242","242","242","0.12895695966831017","0.12895695966831017","0.12895695966831017"
"122","244","244","244","0.1275632409010224","0.1275632409010224","0.1275632409010224"
"123","246","246","246","0.1271908607738849","0.1271908607738849","0.1271908607738849"
"124","248","248","248","0.12805891499564567","0.12805891499564567","0.12805891499564567"
"125","250","250","250","0.12788478509823695","0.12788478509823695","0.12788478509823695"
"126","252","252","252","0.12834968987402573","0.12834968987402573","0.12834968987402573"
"127","254","254","254","0.12793194118860338","0.12793194118860338","0.12793194118860338"
"128","256","256","256","0.1245085912329366","0.1245085912329366","0.1245085912329366"
"129","258","258","258","0.12762388285417212","0.12762388285417212","0.12762388285417212"
"130","260","260","260","0.1283217428724941","0.1283217428724941","0.1283217428724941"
"131","262","262","262","0.12569074457408383","0.12569074457408383","0.12569074457408383"
"132","264","264","264","0.12672581232029018","0.12672581232029018","0.12672581232029018"
"133","266","266","266","0.12867413643529346","0.12867413643529346","0.12867413643529346"
"134","268","268","268","0.12882823288569084","0.12882823288569084","0.12882823288569084"
"135","270","270","270","0.13047985902373918","0.13047985902373918","0.13047985902373918"
"136","272","272","272","0.1300253676170105","0.1300253676170105","0.1300253676170105"
"137","274","274","274","0.12941004322920566","0.12941004322920566","0.12941004322920566"
"138","276","276","276","0.12926017622865252","0.12926017622865252","0.12926017622865252"
"139","278","278","278","0.1260792099019388","0.1260792099019388","0.1260792099019388"
"140","280","280","280","0.12719683662117617","0.12719683662117617","0.12719683662117617"
"141","282","282","282","0.128858007879734","0.128858007879734","0.128858007879734"
"142","284","284","284","0.12857690150765833","0.12857690150765833","0.12857690150765833"
"143","286","286","286","0.12789496118753907","0.12789496118753907","0.12789496118753907"
"144","288","288","288","0.1288387953300285","0.1288387953300285","0.1288387953300285"
"145","290","290","290","0.12892873942959254","0.12892873942959254","0.12892873942959254"
"146","292","292","292","0.12908774509246237","0.12908774509246237","0.12908774509246237"
"147","294","294","294","0.12859113044302498","0.12859113044302498","0.12859113044302498"
"148","296","296","296","0.12836716943193655","0.12836716943193655","0.12836716943193655"
"149","298","298","298","0.12767748249111677","0.12767748249111677","0.12767748249111677"
"150","300","300","300","0.12745320913263455","0.12745320913263455","0.12745320913263455"
"151","302","302","302","0.1274712387073563","0.1274712387073563","0.1274712387073563"
"152","304","304","304","0.12571603618231597","0.12571603618231597","0.12571603618231597"
"153","306","306","306","0.12886320189839065","0.12886320189839065","0.12886320189839065"
"154","308","308","308","0.1262335493107891","0.1262335493107891","0.1262335493107891"
"155","310","310","310","0.12766672417022895","0.12766672417022895","0.12766672417022895"
"156","312","312","312","0.12518866005824109","0.12518866005824109","0.12518866005824109"
"157","314","314","314","0.12705760385795065","0.12705760385795065","0.12705760385795065"
"158","316","316","316","0.12891057917428148","0.12891057917428148","0.12891057917428148"
"159","318","318","318","0.13037091624228428","0.13037091624228428","0.13037091624228428"
"160","320","320","320","0.1263902397716198","0.1263902397716198","0.1263902397716198"
"161","322","322","322","0.12720597288351093","0.12720597288351093","0.12720597288351093"
"162","324","324","324","0.12434025987655581","0.12434025987655581","0.12434025987655581"
"163","326","326","326","0.12494528932239864","0.12494528932239864","0.12494528932239864"
"164","328","328","328","0.12775456323045783","0.12775456323045783","0.12775456323045783"
"165","330","330","330","0.12736665809518963","0.12736665809518963","0.12736665809518963"
"166","332","332","332","0.12588509739984685","0.12588509739984685","0.12588509739984685"
"167","334","334","334","0.12752255322886732","0.12752255322886732","0.12752255322886732"
"168","336","336","336","0.12599003663896066","0.12599003663896066","0.12599003663896066"
"169","338","338","338","0.12732338267170262","0.12732338267170262","0.12732338267170262"
"170","340","340","340","0.12684069092727418","0.12684069092727418","0.12684069092727418"
"171","342","342","342","0.12775720937648619","0.12775720937648619","0.12775720937648619"
"172","344","344","344","0.12815839184791883","0.12815839184791883","0.12815839184791883"
"173","346","346","346","0.12610457889523521","0.12610457889523521","0.12610457889523521"
"174","348","348","348","0.12400549569943244","0.12400549569943244","0.12400549569943244"
"175","350","350","350","0.1264647377884847","0.1264647377884847","0.1264647377884847"
"176","352","352","352","0.12735807144750766","0.12735807144750766","0.12735807144750766"
"177","354","354","354","0.12908762694876869","0.12908762694876869","0.12908762694876869"
"178","356","356","356","0.1272179631597801","0.1272179631597801","0.1272179631597801"
"179","358","358","358","0.1282879764387797","0.1282879764387797","0.1282879764387797"
"180","360","360","360","0.1251452948477384","0.1251452948477384","0.1251452948477384"
"181","362","362","362","0.12486609420113379","0.12486609420113379","0.12486609420113379"
"182","364","364","364","0.1242530420977909","0.1242530420977909","0.1242530420977909"
"183","366","366","366","0.12678581561100793","0.12678581561100793","0.12678581561100793"
"184","368","368","368","0.1251657957010412","0.1251657957010412","0.1251657957010412"
"185","370","370","370","0.12634343521782443","0.12634343521782443","0.12634343521782443"
