"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - ci_val","Name: hopfield_full - ci_val__MIN","Name: hopfield_full - ci_val__MAX"
"25","50","50","50","0.8147930045285454","0.811633165727912","0.8183738023048592"
"26","52","52","52","0.8169678589854685","0.8139833046822731","0.8188977919038556"
"27","54","54","54","0.8173916719805652","0.8112171323180166","0.8259731195744666"
"28","56","56","56","0.8199054911921652","0.817209527263595","0.8232790812975791"
"29","58","58","58","0.8201539494340976","0.8175796410376849","0.8228952241801867"
"30","60","60","60","0.8222476637610342","0.8203964850206075","0.8245941331159037"
"31","62","62","62","0.8225282295374218","0.8209228517195638","0.8257428071066132"
"32","64","64","64","0.8248469816981763","0.8213006928536425","0.8267663902295648"
"33","66","66","66","0.8272515271827539","0.8223318430262331","0.8346349818735566"
"34","68","68","68","0.8278107066555072","0.8241267177826195","0.8315636770966703"
"35","70","70","70","0.8291567340725285","0.8244795245550954","0.8354703658667966"
"36","72","72","72","0.8294191794065956","0.8257513597412613","0.835116220767696"
"37","74","74","74","0.8295802835730495","0.8242216052784035","0.8377114609643468"
"38","76","76","76","0.8316386791419278","0.8281881444916328","0.8361533017951157"
"39","78","78","78","0.833618137579259","0.8307655169841158","0.8380555916388571"
"40","80","80","80","0.8342821629665087","0.8309288051047675","0.8378409898356928"
"41","82","82","82","0.8363508699355517","0.8314548801159044","0.8412346238752367"
"42","84","84","84","0.8366673418428799","0.8276205826863143","0.8410673602295826"
"43","86","86","86","0.838143138314112","0.8351487047366324","0.8431939620841086"
"44","88","88","88","0.8395207102441518","0.8367638054333275","0.8417408359484365"
"45","90","90","90","0.8399665903118507","0.8385017123311039","0.842104415646981"
"46","92","92","92","0.8419259603164267","0.837447578507707","0.8455594476649682"
"47","94","94","94","0.8431683968527312","0.8389498675838953","0.8468900812713467"
"48","96","96","96","0.8453283389785688","0.8414249136615001","0.8484920442093303"
"49","98","98","98","0.8455986795256367","0.8436574434826103","0.8490341240605682"
"50","100","100","100","0.8461968991260541","0.8444425858999494","0.8475228713369903"
"51","102","102","102","0.8455097957684952","0.8428675243633517","0.8478282472497315"
"52","104","104","104","0.8467462461939744","0.8454483467658608","0.8490955648642725"
"53","106","106","106","0.8478037499491107","0.8425250552222281","0.8513324203374519"
"54","108","108","108","0.8490414356397611","0.8462565323933496","0.8506286598070749"
"55","110","110","110","0.8497666753076809","0.8471894473345901","0.851928552464409"
"56","112","112","112","0.8503249783455479","0.8481256877765715","0.8517909974973319"
"57","114","114","114","0.851805864546473","0.84902287581409","0.8549606102623507"
"58","116","116","116","0.8529014872928986","0.848644828985229","0.8553494976749799"
"59","118","118","118","0.8533801633853383","0.8518789713599273","0.8562407676074935"
"60","120","120","120","0.852465194132811","0.8501246578583864","0.8562806533586665"
"61","122","122","122","0.8525225679722122","0.848369879010021","0.8548944163171808"
"62","124","124","124","0.8546704726858316","0.8525895213351775","0.8578317226636405"
"63","126","126","126","0.853639504204154","0.851140588715806","0.8581828182031763"
"64","128","128","128","0.8547603053079866","0.8524782547998446","0.8581306133484375"
"65","130","130","130","0.8555768312284672","0.853361401726227","0.8591804347344951"
"66","132","132","132","0.8572877744176395","0.8536834441348128","0.8599971608111582"
"67","134","134","134","0.8571138264791307","0.8530850506550581","0.8604322545464895"
"68","136","136","136","0.8579051186233879","0.8531195959659285","0.8600253390363984"
"69","138","138","138","0.8568234538842081","0.8554330634380155","0.8587734305663575"
"70","140","140","140","0.8574815585426954","0.8540769380241439","0.8608797731592753"
"71","142","142","142","0.8576213510387326","0.8530089661990821","0.8617738232591254"
"72","144","144","144","0.8590957622479944","0.8551666566858512","0.8618631137203114"
"73","146","146","146","0.8586580647101989","0.8554498843073818","0.8613493857838476"
"74","148","148","148","0.8607033788265461","0.859235667781461","0.8614968429458152"
"75","150","150","150","0.8605884317923366","0.8600696587955929","0.8610699490175018"
"76","152","152","152","0.8602718298106478","0.8549637093042068","0.8638109179965539"
"77","154","154","154","0.8599390015044776","0.8532144756937593","0.8639295774494545"
"78","156","156","156","0.860331038126399","0.8531131569908217","0.8638789111299651"
"79","158","158","158","0.8604624458326899","0.8591716966475246","0.8615439354759796"
"80","160","160","160","0.8588416610695357","0.8556154358379524","0.8621494495510411"
"81","162","162","162","0.8615255215998221","0.8572289345107519","0.8631605553726276"
"82","164","164","164","0.8612558746260058","0.8561314236004597","0.864944380712984"
"83","166","166","166","0.8624116398275401","0.8589784943317482","0.864150465501336"
