"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"109","218","218","218","0.1474742277481324","0.14586107542945323","0.1497667397577305"
"110","220","220","220","0.14706412760453863","0.14496199088261918","0.1492237211517912"
"111","222","222","222","0.14874588452910367","0.1466512962047488","0.15236510520408983"
"112","224","224","224","0.14783843955389692","0.1461883556155606","0.14963298263073677"
"113","226","226","226","0.1471156995908744","0.1439951946534659","0.14949855190914105"
"114","228","228","228","0.14766715617125586","0.14424384095069812","0.15103857744874188"
"115","230","230","230","0.14760639429394035","0.14600404777432482","0.15051662838913246"
"116","232","232","232","0.1470447140730432","0.14515871776955414","0.1489245885893267"
"117","234","234","234","0.1491322958669133","0.14459845194145435","0.15345487901280672"
"118","236","236","236","0.14753222407707667","0.14688084429345613","0.14849568348706513"
"119","238","238","238","0.14771085685451316","0.1452608151255381","0.15025237036581385"
"120","240","240","240","0.14775985785077786","0.1458351259481524","0.1489310547509516"
"121","242","242","242","0.14684414403796106","0.14561763765428037","0.14758277566638975"
"122","244","244","244","0.14796802316156787","0.14517337902675373","0.1506082586578279"
"123","246","246","246","0.1470647288635869","0.14579323744157363","0.1482478734308286"
"124","248","248","248","0.14765193905826135","0.14588693689088644","0.15006192797564052"
"125","250","250","250","0.14660153544129023","0.14491021615161437","0.14856586821374984"
"126","252","252","252","0.14683035363539937","0.14430493468202168","0.15150826021911"
"127","254","254","254","0.1473079721359059","0.1444929601707255","0.15036842607078307"
"128","256","256","256","0.14667269308647976","0.1436134927584193","0.1475681750644084"
"129","258","258","258","0.14695367001893006","0.1428853865726804","0.1505926900856159"
"130","260","260","260","0.1452373090820477","0.14298774818205978","0.1482864269983309"
"131","262","262","262","0.14787494103278145","0.1458470277487798","0.15118435720631077"
"132","264","264","264","0.14745653719847976","0.14499111740058515","0.15140656447603995"
"133","266","266","266","0.14628680054412962","0.1442062779597451","0.14876615597086254"
"134","268","268","268","0.14782704478058734","0.14714196106035557","0.14911751832191128"
"135","270","270","270","0.14649626446009392","0.14284809459533562","0.1492296032281995"
"136","272","272","272","0.14755472768493566","0.14681479616193835","0.1488251217222057"
"137","274","274","274","0.14667105133108396","0.14303956356037753","0.15303723400245245"
"138","276","276","276","0.14690589869248005","0.14345164194052124","0.15113236512028264"
"139","278","278","278","0.14784983742173757","0.14574076868368935","0.1502315997407649"
"140","280","280","280","0.14760240602218833","0.14528784965470812","0.14978388332388787"
"141","282","282","282","0.1468171726501818","0.14566214682314546","0.14813161226425686"
"142","284","284","284","0.14844118106565138","0.1452798978282969","0.1515336632085445"
"143","286","286","286","0.1471653518519675","0.1429128488577026","0.15121632052438286"
"144","288","288","288","0.14684114027510045","0.14524183008785926","0.14758206251113337"
"145","290","290","290","0.1470618624414996","0.14412779692111335","0.1504474128548882"
"146","292","292","292","0.1450520584064735","0.14351105363369565","0.14708112397726603"
"147","294","294","294","0.14616095050422961","0.14449155748576184","0.14973549654649743"
"148","296","296","296","0.14800769106961228","0.14297021845858696","0.1531799936474447"
"149","298","298","298","0.1472955035467441","0.14479439403817465","0.14893687067647188"
"150","300","300","300","0.1478117757683401","0.14689165962207104","0.14964240488797673"
