"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"43","86","86","86","0.8326547561216993","0.8295598197683713","0.8371904211860481"
"44","88","88","88","0.8354314427943177","0.8319156582603765","0.8388541891540124"
"45","90","90","90","0.8362309445050767","0.8328973461906841","0.8405453382532716"
"46","92","92","92","0.8365419824095539","0.8313788601664106","0.8422008059449545"
"47","94","94","94","0.8379401957476936","0.8339047063590421","0.8417732679688226"
"48","96","96","96","0.8401618374810649","0.836719928744509","0.8426321846056127"
"49","98","98","98","0.840084380989175","0.8349698856616217","0.8437233558718764"
"50","100","100","100","0.8411407557169144","0.8383609730993222","0.8430412347048097"
"51","102","102","102","0.8409834364544014","0.8367355947318043","0.8455098750216445"
"52","104","104","104","0.8417204714156034","0.8381741993417788","0.8445155068129845"
"53","106","106","106","0.8426254561116604","0.8365476562816143","0.8445626985323322"
"54","108","108","108","0.8450781505737807","0.843360464642803","0.8469482313201973"
"55","110","110","110","0.845098550258359","0.8418858433406534","0.8475218728059529"
"56","112","112","112","0.8455504419294204","0.8449812771878665","0.846189789570428"
"57","114","114","114","0.8451437970430355","0.8433072660739178","0.8466828392565638"
"58","116","116","116","0.8446782017054936","0.8424085647836836","0.8466979202053599"
"59","118","118","118","0.8477138956430116","0.8452639738687311","0.8504755554734704"
"60","120","120","120","0.8493950819037993","0.8474893280568423","0.8514719070279231"
"61","122","122","122","0.8505377430554134","0.8482675406432335","0.8537061750070671"
"62","124","124","124","0.851378920561778","0.8481228007602147","0.8540476193015212"
"63","126","126","126","0.8505734841800809","0.8481332452609994","0.8524838704976144"
"64","128","128","128","0.8516734895675034","0.8497572162277598","0.8552809278824336"
"65","130","130","130","0.8516695661696054","0.8488144384799235","0.8546302844280211"
"66","132","132","132","0.8517872266853574","0.8485070650769446","0.8545172475788204"
"67","134","134","134","0.8524506335802211","0.8487967121395779","0.8541612090673554"
"68","136","136","136","0.853094955931993","0.8510098681207107","0.8545200887379412"
"69","138","138","138","0.8523393274424785","0.8469976254753737","0.8566655637091285"
"70","140","140","140","0.854151480093116","0.8517111333925372","0.8565740580686395"
"71","142","142","142","0.8544626881907977","0.8517133356929709","0.8567145364898239"
"72","144","144","144","0.8556069484876081","0.8539833690464832","0.8564667088948489"
"73","146","146","146","0.8560428407737994","0.8549647105361486","0.8579428525703104"
"74","148","148","148","0.8568780110310037","0.8557693533443794","0.8589085632269466"
"75","150","150","150","0.8576760740253524","0.8563688848297193","0.859334947565288"
"76","152","152","152","0.8554277661896951","0.8517657731695293","0.8576192043935715"
"77","154","154","154","0.856839804919083","0.855828789236733","0.8582104790615902"
"78","156","156","156","0.8580087243829695","0.8553432368024558","0.8597673222137364"
"79","158","158","158","0.8599016591268225","0.8579297684511656","0.8626268423082099"
"80","160","160","160","0.8591040147383247","0.8574719247073327","0.8599599807467898"
"81","162","162","162","0.8593812888252883","0.8569779339701222","0.8610913129819806"
"82","164","164","164","0.8593874849835208","0.8579973075857801","0.8601877159068425"
"83","166","166","166","0.8596546535020362","0.8586537584067265","0.8607536937266289"
