"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"204","408","408","408","0.14847737156991841","0.14559151777519241","0.15131806153698177"
"205","410","410","410","0.14634392629113524","0.14371637642224983","0.1491039202027464"
"206","412","412","412","0.14581214182157648","0.14260846307141492","0.147799660326759"
"207","414","414","414","0.1473111006993341","0.14268022493175814","0.1490767227296781"
"208","416","416","416","0.14623903721296708","0.14378057634477648","0.14803247754120016"
"209","418","418","418","0.14811569736934432","0.1456920446055738","0.14995600722356878"
"210","420","420","420","0.14467647342888523","0.14233057111862246","0.14731553202238667"
"211","422","422","422","0.14636929364166748","0.14488200621880032","0.14773687690811482"
"212","424","424","424","0.147321727383045","0.14475542431734992","0.15067629646628747"
"213","426","426","426","0.1484330468292806","0.1468741068878464","0.1504361503346287"
"214","428","428","428","0.1481683177201438","0.14621669660241812","0.1516407570162001"
"215","430","430","430","0.14571951094283125","0.14413224859971693","0.14786177219258473"
"216","432","432","432","0.14820491646249753","0.14559344435219282","0.1500947732238626"
"217","434","434","434","0.14791810921897577","0.14523058676227438","0.14995803633668608"
"218","436","436","436","0.14601954810170045","0.14351232300225453","0.14870960753579263"
"219","438","438","438","0.1460935378593016","0.14414073025660532","0.14685402653558044"
"220","440","440","440","0.1464066158231227","0.145419630523373","0.1477890060462008"
"221","442","442","442","0.14759698023747442","0.1443185579318937","0.15119464074344582"
"222","444","444","444","0.1478233206051486","0.1461852029125328","0.14952400892139736"
"223","446","446","446","0.14679204409048136","0.14502399508347047","0.14889185482536652"
"224","448","448","448","0.145918054790164","0.1430904296114783","0.14968791262166825"
"225","450","450","450","0.14590730802354196","0.14380371334820316","0.14845784771565512"
"226","452","452","452","0.1449572614445259","0.14244573032156924","0.14912325387730202"
"227","454","454","454","0.1456395874030263","0.14482493022487747","0.14688096853081964"
"228","456","456","456","0.14596751085848647","0.14303606559799106","0.15126736313556635"
"229","458","458","458","0.14672306184720535","0.14362221375212764","0.15022833616518289"
"230","460","460","460","0.14728461896607548","0.14481169533263874","0.1485419861317374"
"231","462","462","462","0.14661633279000066","0.14465608278774786","0.14900013287800443"
"232","464","464","464","0.1463375749899543","0.14484721818890306","0.14860471862230148"
"233","466","466","466","0.14667250893363198","0.14516460436512185","0.14890060463786886"
"234","468","468","468","0.14593813522809335","0.14379349344528516","0.1470950404797683"
"235","470","470","470","0.14661983091203792","0.14331649607063826","0.15054768158892756"
"236","472","472","472","0.14722643041724673","0.1446466405166844","0.15074474071541547"
"237","474","474","474","0.14618775930905642","0.1450408249601874","0.14854742601566942"
"238","476","476","476","0.14650207229746143","0.14361642856158882","0.15183132066756633"
"239","478","478","478","0.14635046142915525","0.1447188766341377","0.14912708686073445"
"240","480","480","480","0.14642378747984255","0.14489920061854716","0.1492945222562063"
"241","482","482","482","0.1453262205199241","0.14421687756156457","0.1474726620204943"
"242","484","484","484","0.1470846677590385","0.14422962903607114","0.15180659430035023"
"243","486","486","486","0.1471023021758404","0.14648843000796585","0.14802952239292572"
"244","488","488","488","0.1469260207499889","0.14418300735072104","0.1490788648284551"
"245","490","490","490","0.14676275053348026","0.14438496973038","0.14874305501855298"
"246","492","492","492","0.1476224461337401","0.14608232361794848","0.15120912933053995"
"247","494","494","494","0.14706050118653452","0.14341238455039987","0.15172504913816126"
"248","496","496","496","0.14673108491738035","0.14511723943283242","0.14878161967905928"
"249","498","498","498","0.14636591722689282","0.14586635755669491","0.14687033157814533"
"250","500","500","500","0.14744968592394675","0.14577402499718595","0.14915678307366995"
"251","502","502","502","0.14660413764010008","0.14568496740152082","0.14859116658660662"
"252","504","504","504","0.14675423495571058","0.14398397829493007","0.15027040447676057"
"253","506","506","506","0.1479731746726491","0.14555260421042618","0.14993835742455391"
"254","508","508","508","0.14759578378918028","0.14654888547350944","0.14901111419190263"
"255","510","510","510","0.1466944862605465","0.14535523158471753","0.14866923814750893"
"256","512","512","512","0.14699817470486637","0.14454885295314454","0.14931651704856613"
"257","514","514","514","0.14735939437275075","0.14556229756848046","0.1510853185923955"
"258","516","516","516","0.14820436802468773","0.14577336568233912","0.1505261247919136"
"259","518","518","518","0.14665435979340585","0.14303921588100632","0.15124012946056256"
"260","520","520","520","0.14705769135471342","0.14540913244422254","0.14969940829165446"
"261","522","522","522","0.14550251417984614","0.1441778236874019","0.14697071600536882"
"262","524","524","524","0.1466816352991631","0.14463745541819806","0.15007371054718424"
"263","526","526","526","0.14793816608490892","0.14396427402106995","0.15072420099795564"
"264","528","528","528","0.1469641143045573","0.1434416087362655","0.1491292590507026"
"265","530","530","530","0.14808619713253193","0.14532980194060968","0.1508184629920891"
"266","532","532","532","0.14764495499035332","0.1444233255824998","0.1503997165296406"
"267","534","534","534","0.1467528365543","0.14466273149530545","0.15186831425635544"
"268","536","536","536","0.14687038913219091","0.14396496935524786","0.14920856405050506"
"269","538","538","538","0.14790526889047645","0.1462035247959296","0.1500034927914747"
"270","540","540","540","0.1463977226502812","0.144346958701864","0.15022123056685052"
"271","542","542","542","0.14680066886339244","0.14477587610544637","0.14930429933439157"
"272","544","544","544","0.1468292672522265","0.14588101323845348","0.1485883407213813"
"273","546","546","546","0.14699189999833379","0.14547567337906886","0.14885881103017784"
"274","548","548","548","0.14727021862084672","0.14414697462311446","0.14984875052998495"
"275","550","550","550","0.14849314355292695","0.14572221022926615","0.15095975560317054"
"276","552","552","552","0.14690084048712226","0.14482209321837744","0.14935963038467043"
"277","554","554","554","0.14696260610359638","0.14440048221486834","0.14934815068107382"
"278","556","556","556","0.14798568715108282","0.14685445484614926","0.14952786236636403"
"279","558","558","558","0.14483509003591324","0.14064489009242145","0.1474212776123413"
"280","560","560","560","0.14730484204530786","0.14663070493712652","0.14868621091910517"
"281","562","562","562","0.1467780406673339","0.1438361137826222","0.14993296274716894"
"282","564","564","564","0.14751061635125257","0.1453061703608897","0.1505470981118392"
"283","566","566","566","0.14784125015967198","0.14639066896353126","0.14995866680660952"
"284","568","568","568","0.1464519152299215","0.14324450417412185","0.15005831184686494"
"285","570","570","570","0.1483790224188176","0.14522338952482716","0.1534216115385243"
"286","572","572","572","0.14786706040628111","0.14640855894064148","0.14973551267228735"
"287","574","574","574","0.1460036275510017","0.14354409208304728","0.147902916900633"
"288","576","576","576","0.1477360285519423","0.14528354336714028","0.15059364931340832"
"289","578","578","578","0.14744283724028867","0.1440714319767918","0.15095097874504598"
"290","580","580","580","0.1468646470252164","0.14441263433704785","0.14968712966313324"
"291","582","582","582","0.14738108249765336","0.14379378584794028","0.1518689094613574"
"292","584","584","584","0.1477066918361855","0.14587025911989307","0.15043512676600737"
"293","586","586","586","0.14657750008647016","0.14392464734028104","0.1489388317978192"
