"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"57","114","114","114","0.8507334726842679","0.8488645202064161","0.8520256394908607"
"58","116","116","116","0.8507054851370418","0.8480248212420999","0.8527561029188869"
"59","118","118","118","0.8516358222757245","0.8503681541880916","0.8533242345114695"
"60","120","120","120","0.8508804863213404","0.8462473747504589","0.8543126266622376"
"61","122","122","122","0.8523795269349017","0.8492096964381299","0.8546746618010153"
"62","124","124","124","0.8537832531733134","0.8505482739098496","0.8586380889851581"
"63","126","126","126","0.8543148568118781","0.8532100291692162","0.8558628717947534"
"64","128","128","128","0.855037399426989","0.8519874196293308","0.8579268806789859"
"65","130","130","130","0.8558702379990342","0.851530707939014","0.8596721263953558"
"66","132","132","132","0.856861130871635","0.853573490610438","0.8599390101382252"
"67","134","134","134","0.8571418565471174","0.8559073571950273","0.858416488107899"
"68","136","136","136","0.8565723880419409","0.854233566442907","0.8595655180791761"
"69","138","138","138","0.8570340746310714","0.8526223599583462","0.8602430801663604"
"70","140","140","140","0.8573297614758829","0.8539831655342348","0.8601191111878498"
"71","142","142","142","0.8576888184598316","0.8535536503355007","0.8602309702198391"
"72","144","144","144","0.8583049210074272","0.8543884694850068","0.8615159816888722"
"73","146","146","146","0.8590078168711838","0.8561566544609241","0.861018828306676"
"74","148","148","148","0.8583537703167885","0.8547904310747978","0.8601149969686785"
"75","150","150","150","0.8598720744228363","0.8573249819960588","0.8620482773263609"
"76","152","152","152","0.8601907188143227","0.8584965431218224","0.8636615532601907"
"77","154","154","154","0.8607018032921433","0.8576074246439737","0.8628855153716061"
"78","156","156","156","0.8603955148149283","0.8565087839235936","0.8682421496903655"
"79","158","158","158","0.860229347639953","0.8567622205138036","0.86322900997212"
"80","160","160","160","0.8605687276396923","0.856406015546474","0.8639521604361287"
"81","162","162","162","0.8600438841733492","0.8564993378972259","0.8637065015699146"
"82","164","164","164","0.8622227988902524","0.8587274857307257","0.8647226889832057"
"83","166","166","166","0.8620505544438866","0.8597468534142282","0.8644250512748123"
