"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"137","274","274","274","0.13722438820140773","0.13534858383814458","0.14034568179312978"
"138","276","276","276","0.137177465207457","0.13445963026443344","0.13912643913793166"
"139","278","278","278","0.13685376359859003","0.13465260277104799","0.13979491993769771"
"140","280","280","280","0.13741776678291462","0.13502324234785104","0.13923357627788782"
"141","282","282","282","0.13674292829249649","0.13453449315601876","0.13807537751182988"
"142","284","284","284","0.13625174099754456","0.13467493577578457","0.13803312307123788"
"143","286","286","286","0.13746441362824122","0.1351207303843851","0.1396354451238353"
"144","288","288","288","0.1368247435145987","0.1353673102189527","0.1390885516062894"
"145","290","290","290","0.13694297695700758","0.13544483451711808","0.13977895289220083"
"146","292","292","292","0.13566826127587395","0.1335793052476494","0.13910378143808066"
"147","294","294","294","0.13622518067118547","0.13397054884667875","0.13886416061781626"
"148","296","296","296","0.13606108936301223","0.13439119022766127","0.1379861131605643"
"149","298","298","298","0.1351468224082241","0.13351081039074988","0.13765086915511282"
"150","300","300","300","0.13511282319255982","0.1334257865383913","0.13671883064605242"
"151","302","302","302","0.13593064645103947","0.13319163680180393","0.13839330359467128"
"152","304","304","304","0.1354548505942887","0.13357719544634503","0.1388468460142173"
"153","306","306","306","0.13488859761090916","0.13243019242825665","0.1369534187817342"
"154","308","308","308","0.1356183745127675","0.13379796076572972","0.13838693453442574"
"155","310","310","310","0.1347423137419329","0.13069901605613637","0.13738754257977745"
"156","312","312","312","0.13475403177223094","0.13245425253582094","0.1373755538183081"
"157","314","314","314","0.1347591003810682","0.13226535726823604","0.13766314796223242"
"158","316","316","316","0.13488385449437168","0.13300087906352848","0.13606523300752307"
"159","318","318","318","0.13462032136843746","0.13209593053066448","0.13728417128508816"
"160","320","320","320","0.13493263971517683","0.132458780940265","0.1367054095521528"
"161","322","322","322","0.1347808171130708","0.13336063667000256","0.13735167178325414"
"162","324","324","324","0.1349585499036774","0.13183342345439814","0.13676169903293894"
"163","326","326","326","0.13454134762647174","0.13272174058792854","0.13680042238265352"
"164","328","328","328","0.13545951076675297","0.13277578751127214","0.13780371089465618"
"165","330","330","330","0.1348333344353936","0.13203137890537378","0.13754318420581524"
"166","332","332","332","0.1348376307886606","0.13255389339696527","0.13733421579903032"
"167","334","334","334","0.13474796378871162","0.1327354918013387","0.1365979373782926"
"168","336","336","336","0.13442585649950636","0.13217706824874012","0.13704386732759494"
"169","338","338","338","0.1342630370123282","0.1327204295885528","0.13599807321805277"
"170","340","340","340","0.13452231761723862","0.13322338699774713","0.13657332431418417"
"171","342","342","342","0.13448390155073983","0.1329210234591803","0.13588348472192585"
"172","344","344","344","0.1345354517278182","0.1325580657722308","0.1375363493640972"
"173","346","346","346","0.13474725005205163","0.13248501764337356","0.1380696198838085"
"174","348","348","348","0.13425704618517248","0.13250481814883275","0.13655928247680335"
"175","350","350","350","0.13317352195030405","0.13132804775646115","0.13439858990482575"
"176","352","352","352","0.13466785920238628","0.1322011270810967","0.1358281769999723"
"177","354","354","354","0.13414580836454598","0.13259404543606698","0.1373121796588003"
"178","356","356","356","0.13368888141907115","0.13188775766217392","0.13573716593365168"
"179","358","358","358","0.13444994014910394","0.13157433418628123","0.1370238562153545"
"180","360","360","360","0.13419113051464868","0.13292662447038364","0.13576893659947356"
"181","362","362","362","0.13407792594847615","0.1321133717996888","0.13721891883787227"
"182","364","364","364","0.13413652078030305","0.13302180848729916","0.13582701842228007"
"183","366","366","366","0.1346085621115611","0.13202134272624466","0.13938035138611965"
"184","368","368","368","0.1340166953854211","0.131834217684943","0.13669212367042796"
"185","370","370","370","0.13404867169810117","0.13244388005134838","0.13786731161516108"
"186","372","372","372","0.1341559099172383","0.1308330032104861","0.13721590036965559"
"187","374","374","374","0.13379549919875247","0.13135841495302175","0.1366413478513922"
"188","376","376","376","0.13356953708220395","0.131815117302644","0.13581303389815916"
"189","378","378","378","0.13369737763243078","0.1316506059284642","0.13534068985583667"
"190","380","380","380","0.13331696827216472","0.13153411661254916","0.13600251875842584"
"191","382","382","382","0.13351736195318958","0.13093162486861468","0.1357144045264114"
"192","384","384","384","0.133138690497044","0.13231810802200006","0.13454348429878782"
"193","386","386","386","0.13368684880346057","0.13063037573154807","0.13671571257300075"
"194","388","388","388","0.1332292798722613","0.13134272735773117","0.13523529894743674"
"195","390","390","390","0.13283391067733563","0.13086647715811806","0.13453580880175078"
"196","392","392","392","0.13429763774117612","0.13277714802523688","0.13647078155785577"
"197","394","394","394","0.13352290990578478","0.13027965092524957","0.13547337267362256"
"198","396","396","396","0.13359015794164558","0.13028940891436588","0.1355654769501125"
"199","398","398","398","0.13355704217326875","0.13092676399333236","0.13541032345947882"
"200","400","400","400","0.13389913473543155","0.13170791031774734","0.13610140690362"
"201","402","402","402","0.13357181959283548","0.13070676603234305","0.13634346563969382"
"202","404","404","404","0.13280455005728248","0.13117893125923097","0.13492821256170215"
"203","406","406","406","0.13312155976404919","0.13129550631730785","0.135033112777903"
"204","408","408","408","0.13270066215162835","0.13128691199285056","0.13371959314663817"
"205","410","410","410","0.13279796484758566","0.1306100639308631","0.13456501336415855"
"206","412","412","412","0.13272680672225468","0.13116425401928433","0.13548527143346142"
"207","414","414","414","0.13219638539365197","0.1312494045966247","0.13356167626701354"
"208","416","416","416","0.13312809010388224","0.13091172450014213","0.13476951304565388"
"209","418","418","418","0.132750274886072","0.13067325537785374","0.13481592485766072"
"210","420","420","420","0.1331756081460918","0.1308233213298721","0.136248327236504"
"211","422","422","422","0.13373451928996744","0.13098895346629624","0.13776391929057308"
"212","424","424","424","0.13234740197870526","0.12973997237544085","0.13541762665524745"
"213","426","426","426","0.131961396292224","0.12974379754248658","0.13368128339085708"
"214","428","428","428","0.13234282515571286","0.13113587692372577","0.13423568099345837"
"215","430","430","430","0.13317852641905967","0.13028806190527203","0.13515833904491828"
"216","432","432","432","0.13253415839099908","0.13094693659235654","0.1343400951927979"
"217","434","434","434","0.13268958261141633","0.13065122394786574","0.13609941932370942"
"218","436","436","436","0.13283574552548857","0.1305443112014154","0.13529610502421213"
"219","438","438","438","0.1325658232538271","0.1307603535721752","0.13563183237340018"
