"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"93","186","186","186","0.8629761271988162","0.8602828986974974","0.8652440119456581"
"94","188","188","188","0.8608308504503466","0.857397399989718","0.8637163151366581"
"95","190","190","190","0.8629797424594173","0.8612636303433356","0.8641085011892641"
"96","192","192","192","0.8636751043609777","0.8616221256937578","0.8662329047475881"
"97","194","194","194","0.8636397554592137","0.8620885037422298","0.8654610532798639"
"98","196","196","196","0.8638026906966878","0.8610922525764615","0.865702924605426"
"99","198","198","198","0.8634089970197312","0.8625319835749409","0.8649398972959893"
"100","200","200","200","0.8639409002182029","0.8626269709416082","0.8656517422766561"
"101","202","202","202","0.8641216110471326","0.8623134764989324","0.8653655804837496"
"102","204","204","204","0.864875607794068","0.8639154498851337","0.866011980608872"
"103","206","206","206","0.8643280380859906","0.8628778061511365","0.8666185394438657"
"104","208","208","208","0.8632978106144217","0.8608875030363639","0.8644538810519296"
"105","210","210","210","0.8650192482669798","0.8628983982382978","0.8665168466239896"
"106","212","212","212","0.8659580767299513","0.8635825513748716","0.8683871016303316"
"107","214","214","214","0.8643474276649128","0.8601253517143083","0.8666855647817899"
"108","216","216","216","0.8645749743941383","0.8629245074416612","0.8668268386693934"
"109","218","218","218","0.8657499990539904","0.8642958025897721","0.8672774782754393"
"110","220","220","220","0.8665917335568283","0.8617719385037325","0.8708566707223626"
"111","222","222","222","0.8656679916601091","0.8628543334516094","0.8674560876279827"
"112","224","224","224","0.8653324328910313","0.8634070275786175","0.86707741744489"
"113","226","226","226","0.8650345343195418","0.8624385972932793","0.8694765084422376"
"114","228","228","228","0.8654921825487815","0.863900612388599","0.8678338604389793"
"115","230","230","230","0.8670977797731089","0.8653396545760841","0.8680901227052378"
"116","232","232","232","0.8676510647584145","0.8659016205410432","0.869325278047681"
"117","234","234","234","0.8668795834410059","0.8660402484620074","0.8693042323203326"
"118","236","236","236","0.8675242529647805","0.8637547132317895","0.8696022720953758"
"119","238","238","238","0.8676519367565045","0.866019151865528","0.8705549485507724"
"120","240","240","240","0.867515053613567","0.8650898021730418","0.8686835877310108"
"121","242","242","242","0.8668479646688902","0.8648075789868368","0.8683573437232989"
"122","244","244","244","0.8675667863189659","0.865389421471552","0.870276478821562"
"123","246","246","246","0.8673793987615921","0.8665168310231839","0.8699732836479002"
"124","248","248","248","0.8676768529605425","0.8654537314702845","0.8695503738219172"
"125","250","250","250","0.8673270783568785","0.8627775916831969","0.8691788957488846"
"126","252","252","252","0.8670996190950268","0.8651677317303439","0.8689111222660975"
"127","254","254","254","0.8677048385861157","0.8660516764625108","0.8706428618789619"
"128","256","256","256","0.8689539937826453","0.8681838019264012","0.8698883332261641"
"129","258","258","258","0.866741868988553","0.8634245047316029","0.8703484280979427"
"130","260","260","260","0.86837304899593","0.8668817655698475","0.8700170529628837"
"131","262","262","262","0.8684861799057518","0.8670317602128337","0.8696361238454365"
"132","264","264","264","0.8684897200730315","0.867352699108269","0.869715317713708"
"133","266","266","266","0.868174626634272","0.8658517880562069","0.870201897301632"
"134","268","268","268","0.8676424343404807","0.8668714727737752","0.8683257185833682"
"135","270","270","270","0.8674732946547083","0.8657853112037153","0.8690077383058072"
"136","272","272","272","0.868516887478967","0.8646673691018891","0.8705717995357624"
"137","274","274","274","0.8665014735336356","0.8636975876486478","0.8697505836398958"
"138","276","276","276","0.8674146295505721","0.8639948670902293","0.8701645693059593"
"139","278","278","278","0.8678693454196237","0.8654407306204889","0.8707734653990937"
"140","280","280","280","0.8692613564108951","0.8652459072682904","0.8727761684848172"
"141","282","282","282","0.869187913917272","0.8676328011552493","0.8712568245781419"
"142","284","284","284","0.8691294741587099","0.8682130179171872","0.8696806938594491"
"143","286","286","286","0.8696082938249898","0.8670358023895058","0.8750298166993659"
"144","288","288","288","0.8687415233553619","0.867282938095565","0.8704181548245419"
"145","290","290","290","0.8692674725107276","0.8676755781929574","0.870555817199073"
"146","292","292","292","0.8695157320499508","0.8681489698879961","0.871003647225367"
"147","294","294","294","0.8686068075782541","0.8675731858128052","0.8694491397696079"
"148","296","296","296","0.8678892583649951","0.8651769101595556","0.8696362332047333"
"149","298","298","298","0.8675193053023642","0.8660063358603571","0.8697837216968228"
"150","300","300","300","0.869172785423233","0.8666224843838893","0.8721087630587891"
