"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"138","276","276","276","0.14899401574151477","0.14642890421206692","0.15148462116654357"
"139","278","278","278","0.14791170650696206","0.144362562561641","0.15086824325689951"
"140","280","280","280","0.14898882611935632","0.14822742647674964","0.15169048983693606"
"141","282","282","282","0.14845031988476687","0.14709806985486265","0.14972707151563552"
"142","284","284","284","0.1497672023943386","0.14831320484555127","0.1512650121570191"
"143","286","286","286","0.14807814261161595","0.14411903933419154","0.1504835130619297"
"144","288","288","288","0.1487513642490762","0.14582550551978854","0.15219981043353178"
"145","290","290","290","0.14764385256431709","0.14313576229029126","0.1539623550365946"
"146","292","292","292","0.1492189629626756","0.14431539784981812","0.15108489296893282"
"147","294","294","294","0.14856775686045506","0.1462015456998816","0.1516122605630853"
"148","296","296","296","0.1496024117858888","0.1461528500028047","0.1527710579053638"
"149","298","298","298","0.14803713116145173","0.14496308336018024","0.1511824500093481"
"150","300","300","300","0.14778935630118675","0.14600109869528596","0.14852043889549102"
"151","302","302","302","0.14886772666459963","0.14805095126091083","0.1496788229473024"
"152","304","304","304","0.14804634130277688","0.14610611211334598","0.15007209101633967"
"153","306","306","306","0.14770918064691796","0.14540398673055024","0.15060705896041562"
"154","308","308","308","0.14999496765210424","0.1492759624336379","0.15182589362766566"
"155","310","310","310","0.14975494514466564","0.14717889871286707","0.1523306444965727"
"156","312","312","312","0.1484763109606821","0.14398178545200715","0.15120704566287937"
"157","314","314","314","0.147680967379027","0.14313942889829157","0.15073059447447731"
"158","316","316","316","0.14583041470859728","0.1431183595094192","0.14668524860884843"
"159","318","318","318","0.14859147004541293","0.14596910853495684","0.15061981498293017"
"160","320","320","320","0.14857661014439721","0.14799955735465978","0.14912802950035242"
"161","322","322","322","0.14789103358275807","0.1467518405188167","0.14923411599570008"
"162","324","324","324","0.14747210283852813","0.14566643663236944","0.15138962775820683"
"163","326","326","326","0.1478976720981954","0.14503076013591445","0.15202793200750134"
"164","328","328","328","0.1488286088276201","0.1474621177845665","0.15102695383617004"
"165","330","330","330","0.1478790319898602","0.14607408072293504","0.15049395548689537"
"166","332","332","332","0.14900637971152345","0.14712208393511256","0.1509434877704306"
"167","334","334","334","0.15074487838408993","0.14528116509170175","0.15616575262163607"
"168","336","336","336","0.1486527421113625","0.1471738393746602","0.15195060804901475"
"169","338","338","338","0.14942597609615071","0.14825926974635253","0.15085359710415813"
"170","340","340","340","0.14894401473532004","0.14613716830527204","0.15275999502595025"
"171","342","342","342","0.14838926297618843","0.14602652105443562","0.1517974767784662"
"172","344","344","344","0.14866234692194497","0.14551141851726385","0.15358024242567914"
"173","346","346","346","0.1492475821993908","0.14771589805991361","0.15139318737777982"
"174","348","348","348","0.1475957766625784","0.14548167242077126","0.1493724674176066"
"175","350","350","350","0.14759883291882933","0.14505250046178036","0.1505121675746983"
"176","352","352","352","0.14936126613065018","0.14715359372925307","0.15069174588765052"
"177","354","354","354","0.1485530232036842","0.14535697388870578","0.15232308879437434"
"178","356","356","356","0.14800989347141763","0.14523795068298692","0.15099601015855874"
"179","358","358","358","0.15021451627294571","0.1461777548333513","0.15430539041549282"
"180","360","360","360","0.1471985808229122","0.14449628020743896","0.14887958971270449"
"181","362","362","362","0.1491092585987996","0.14712219761201015","0.1506414198667045"
"182","364","364","364","0.1477137055997454","0.145403581448601","0.14938027550578886"
"183","366","366","366","0.14656348959131088","0.1438124213653667","0.14975624590395412"
"184","368","368","368","0.14790284353670954","0.14561495507696146","0.1500557139633245"
"185","370","370","370","0.1479416532948851","0.14665392131491645","0.15119139719902405"
"186","372","372","372","0.1490336324250415","0.1465793249997703","0.15134285502977407"
"187","374","374","374","0.14814388142912974","0.14683883119146904","0.15040096531942643"
"188","376","376","376","0.1475670668207898","0.1453192656480014","0.15077525092411345"
"189","378","378","378","0.148871245979526","0.14590874656644176","0.15080139664616685"
"190","380","380","380","0.15102676267056342","0.14806531753343288","0.15531362131348037"
"191","382","382","382","0.14902320804698874","0.14736151739553277","0.14976892399273664"
"192","384","384","384","0.15027733299765397","0.14667879348820415","0.15363110239741826"
"193","386","386","386","0.1495139545574422","0.14476365258477378","0.15235247336111052"
"194","388","388","388","0.14867743162910857","0.1463939310892954","0.1523894559054187"
"195","390","390","390","0.14919114566684147","0.14656373745290088","0.1516224985715651"
"196","392","392","392","0.14986255221066505","0.14699067972309351","0.15235932498959562"
