"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - ci_val","Name: hopfield_prot - ci_val__MIN","Name: hopfield_prot - ci_val__MAX"
"152","304","304","304","0.8690360790162537","0.8677592867247059","0.871579616311704"
"153","306","306","306","0.8677987094055627","0.8666444476407521","0.8685517989154219"
"154","308","308","308","0.8701637757884093","0.8654911656245152","0.8732291376072701"
"155","310","310","310","0.8702585513074211","0.8675201319111686","0.873761295486352"
"156","312","312","312","0.8686720281578564","0.8656763738558539","0.8706508312722133"
"157","314","314","314","0.8701770559502527","0.8689094555605301","0.8723180977511552"
"158","316","316","316","0.8699244762743875","0.8662279368089998","0.8755259242846979"
"159","318","318","318","0.8709291619301233","0.8677967105995185","0.877820211262479"
"160","320","320","320","0.868406974602817","0.8637264512329926","0.8723105765601729"
"161","322","322","322","0.8684307288582964","0.8649309077714862","0.8728926631893799"
"162","324","324","324","0.8667322150112463","0.8641643757328109","0.868487455969313"
"163","326","326","326","0.868598345572136","0.8625145926313441","0.8739291863806475"
"164","328","328","328","0.8698234964475086","0.8647683389818066","0.8729389661959722"
"165","330","330","330","0.8693043630324894","0.8646052127465126","0.8738056074919014"
"166","332","332","332","0.8680435734559817","0.8643704289300653","0.871163895406605"
"167","334","334","334","0.8692505114721648","0.8659152846508065","0.8710747480510854"
"168","336","336","336","0.8692884785177707","0.8664522450492407","0.8710558947428285"
"169","338","338","338","0.8682172045444879","0.8641284929096923","0.87041883206176"
"170","340","340","340","0.8698148535525249","0.8691876427413703","0.8711703360363815"
"171","342","342","342","0.8711138271202985","0.8696028239740402","0.8757670530932558"
"172","344","344","344","0.8699417302081607","0.868315149344554","0.871798494643848"
"173","346","346","346","0.8712384747861291","0.8673002246890987","0.8741493574529389"
"174","348","348","348","0.8691123463566995","0.8674225418308706","0.8723084535720275"
"175","350","350","350","0.8679760484124301","0.8667948110215183","0.8698923804034767"
"176","352","352","352","0.870942328911189","0.8661372479452748","0.877514493075893"
"177","354","354","354","0.8706489561717422","0.8685860108494429","0.8735151061504183"
"178","356","356","356","0.8717949081958946","0.8682651369144302","0.8761794808485975"
"179","358","358","358","0.8697794258387306","0.8674336722839537","0.8717251690895824"
"180","360","360","360","0.8694086184668344","0.8658343828354199","0.8739489177606276"
"181","362","362","362","0.8694187159013487","0.8647582186844515","0.8746370915827826"
"182","364","364","364","0.8691074330718234","0.8674000206969217","0.8707053508742743"
"183","366","366","366","0.8676464838838867","0.8606103163685599","0.8702878498595943"
"184","368","368","368","0.8709933547876002","0.8695599454735181","0.8745024910203767"
"185","370","370","370","0.8709271928683421","0.8690017975148546","0.8757606303456051"
"186","372","372","372","0.8691119357581449","0.8634962568590059","0.8717711892741897"
"187","374","374","374","0.868983965880561","0.8651944440863252","0.8710448934657125"
"188","376","376","376","0.8719053421346906","0.8688995926501757","0.8772385911116175"
"189","378","378","378","0.8706977426985596","0.8681034208820063","0.873177038020611"
"190","380","380","380","0.8706048292826107","0.8690859687091151","0.8720678973965584"
"191","382","382","382","0.8714659296318583","0.8699976571023901","0.873100039129903"
"192","384","384","384","0.8704192890482162","0.868459092119643","0.8725179407168203"
"193","386","386","386","0.8713026261301033","0.8683658293586036","0.8742598057215073"
"194","388","388","388","0.8702211050536224","0.8682640424774644","0.871556592841478"
"195","390","390","390","0.8697730478145917","0.8681588337832967","0.8706336047777575"
"196","392","392","392","0.869784209504432","0.8652407742279956","0.8736596638145595"
"197","394","394","394","0.8687871044545006","0.8654140688808946","0.872682429747764"
"198","396","396","396","0.8702734357206697","0.8692477663318069","0.8715342517993845"
"199","398","398","398","0.8694873056904683","0.8667773063271732","0.8715887514302934"
"200","400","400","400","0.8696902606993939","0.8655653949939862","0.8730570070465735"
"201","402","402","402","0.8681995184085679","0.8645429465634648","0.8714974945730467"
"202","404","404","404","0.8693201059485993","0.8650833131883289","0.8727775643743954"
"203","406","406","406","0.8690315480114519","0.8646597462506469","0.8718321010246698"
"204","408","408","408","0.8697615884500163","0.8667639696412456","0.8751684289590747"
"205","410","410","410","0.8703096114990361","0.8669885987878504","0.8720843091163395"
"206","412","412","412","0.8705542695883839","0.8676981141116298","0.8739057541979636"
"207","414","414","414","0.8703082444149125","0.8668779008355828","0.876496296140354"
"208","416","416","416","0.8697251923272088","0.8661069668540518","0.8745950914133899"
"209","418","418","418","0.8703938155665423","0.864931144549295","0.8733456812774963"
"210","420","420","420","0.8720336215506679","0.8697513945337362","0.8749821989042635"
"211","422","422","422","0.870419760705286","0.8691117878269539","0.872406224526334"
"212","424","424","424","0.8706822164708505","0.8691519251089328","0.8729314164836972"
"213","426","426","426","0.8709041606257445","0.8692467873511885","0.8722592727370313"
"214","428","428","428","0.8693227963908259","0.8679698059572486","0.8720230612157597"
"215","430","430","430","0.8705656885633676","0.8679749284340057","0.8734847379223694"
"216","432","432","432","0.8705085592274415","0.8665312076069048","0.8752039489803024"
"217","434","434","434","0.8714438028171834","0.8658595379308589","0.8750878820508083"
"218","436","436","436","0.8712140436455851","0.8650059480810357","0.8759349340276389"
"219","438","438","438","0.8680381704193753","0.8632414726764659","0.8736490553373949"
"220","440","440","440","0.868161019242217","0.8645864393251045","0.8726042337343245"
"221","442","442","442","0.8708740408849909","0.8682500788245656","0.8722372821272101"
"222","444","444","444","0.8701850192040463","0.8678738725064756","0.8723958624664071"
"223","446","446","446","0.8705714282944232","0.8684898594708284","0.8755893313418922"
"224","448","448","448","0.869236548809915","0.8643354813902807","0.8733588596178964"
"225","450","450","450","0.8696524968399324","0.8670088483634018","0.8707687363908719"
"226","452","452","452","0.8709793026042222","0.8690084050917876","0.8727380118619333"
"227","454","454","454","0.8710624345698467","0.8656204513350922","0.8753521380827074"
"228","456","456","456","0.8699186126562882","0.8655988327786018","0.872839625265142"
"229","458","458","458","0.8717468053785362","0.87028372131374","0.8735591558496394"
"230","460","460","460","0.8711054806430736","0.8678848935015212","0.8732377904660767"
"231","462","462","462","0.8696429407017996","0.8655018868386359","0.8730147820968044"
"232","464","464","464","0.8709111631317326","0.8668923043566772","0.8727937432581722"
"233","466","466","466","0.8706122781739414","0.8661897425613494","0.8739147930487627"
"234","468","468","468","0.871809080046312","0.8676317187100587","0.8756723263489705"
"235","470","470","470","0.8714004319257633","0.8654380131138588","0.8758037733042503"
"236","472","472","472","0.8707032512866221","0.8693614742004321","0.8732486997487077"
"237","474","474","474","0.8720330625910735","0.8694507154023565","0.8731384284826287"
"238","476","476","476","0.8697201167082771","0.8687364726751212","0.8709597416223441"
"239","478","478","478","0.8703993556635343","0.8695247203647268","0.8715402918820022"
"240","480","480","480","0.8704561449606594","0.8615365544669933","0.8748270473994764"
"241","482","482","482","0.8711725013252651","0.8653724623278357","0.8730073342663969"
"242","484","484","484","0.8707276326244908","0.8686480722855525","0.8724588440994143"
"243","486","486","486","0.8712199342228498","0.8699106802468951","0.8733418121386854"
"244","488","488","488","0.8689636503991702","0.8654451164540589","0.8725132223355592"
"245","490","490","490","0.8712448504203459","0.867178075486838","0.8754026287603268"
"246","492","492","492","0.8726678686959772","0.8672583863159326","0.8761795971768012"
"247","494","494","494","0.8708937962383774","0.8686985636776828","0.8739693026601564"
"248","496","496","496","0.8704383397643959","0.8667360492304964","0.8743778551511318"
"249","498","498","498","0.8695314576109542","0.8648434348092175","0.8759841208801"
"250","500","500","500","0.8710094563352617","0.8702774265427681","0.8729302777222624"
"251","502","502","502","0.8693123298404665","0.8651482900621001","0.8757104274187562"
"252","504","504","504","0.8702513452649574","0.863728957238524","0.8772076990979244"
"253","506","506","506","0.8703556064386995","0.865491111851138","0.8740984253801537"
"254","508","508","508","0.8706130763395855","0.8660179098430058","0.873933609697764"
"255","510","510","510","0.8705032893815841","0.8662106729788714","0.87394746318539"
"256","512","512","512","0.8703876463244227","0.8679454185372083","0.8725130608322648"
"257","514","514","514","0.8712313597376218","0.8695017900855313","0.8735444534268529"
"258","516","516","516","0.8705749545490779","0.865106704655381","0.8747761763602342"
"259","518","518","518","0.8701248440695208","0.8662597724110362","0.8745704202871705"
"260","520","520","520","0.8715460527475546","0.8663254806860199","0.8752119606150592"
"261","522","522","522","0.8729244375608886","0.869669506305563","0.8786910855028154"
"262","524","524","524","0.8719910486546805","0.8687816927806923","0.8750457894438163"
