"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - loss_to_report_val","Name: hopfield_full - loss_to_report_val__MIN","Name: hopfield_full - loss_to_report_val__MAX"
"34","68","68","68","0.1835386830380828","0.18099104278627862","0.18598123236812603"
"35","70","70","70","0.18144866590162928","0.17801631446850735","0.1879026865609042"
"36","72","72","72","0.1798672711096007","0.17753936962219954","0.18323072993187806"
"37","74","74","74","0.18036590133983516","0.17690505726222538","0.18456471031753338"
"38","76","76","76","0.17894207884596044","0.17547979456085758","0.18186961238623547"
"39","78","78","78","0.17807216737898757","0.17340128540592664","0.1834295190408269"
"40","80","80","80","0.17598218463878762","0.17270597838340399","0.17889773620509292"
"41","82","82","82","0.1741828790724709","0.17313306271727463","0.17632957358574577"
"42","84","84","84","0.17383948631491636","0.17187074509168565","0.1778525830865993"
"43","86","86","86","0.17365529009328656","0.17134489134652034","0.17642959761618085"
"44","88","88","88","0.17168492198763358","0.16855566939686334","0.17513918232067735"
"45","90","90","90","0.17103556936123843","0.16995206905276114","0.1721972594097208"
"46","92","92","92","0.17154152232078074","0.16760932821206317","0.17731987323591905"
"47","94","94","94","0.17112666127440418","0.16876837926846283","0.1746930979851548"
"48","96","96","96","0.16974248875439432","0.16580688069296393","0.17462643031514277"
"49","98","98","98","0.16821974011180635","0.16710281595333587","0.16949689673609564"
"50","100","100","100","0.16749481239930805","0.1640525657032781","0.1716602045085839"
"51","102","102","102","0.16709919481581462","0.1655508479695074","0.17014912275688043"
"52","104","104","104","0.16577743485078694","0.16373150941191353","0.16758360598907543"
"53","106","106","106","0.16381221057664858","0.16052077939091847","0.16735763115357163"
"54","108","108","108","0.16482593446789878","0.16339839638198142","0.16591309902247123"
"55","110","110","110","0.1639211442810651","0.16185511709878583","0.16532165278012842"
"56","112","112","112","0.16306690178048766","0.16149621940411343","0.16680312216586718"
"57","114","114","114","0.16293148943675856","0.1606715185251224","0.16598943848647718"
"58","116","116","116","0.16286417763139732","0.16070454173964263","0.16506385520433361"
"59","118","118","118","0.16124947695225228","0.15848631247877612","0.16490830457517375"
"60","120","120","120","0.1606447842811204","0.15869175179752718","0.16185458654284066"
"61","122","122","122","0.15975984235066498","0.1581965994560351","0.1615945164790096"
"62","124","124","124","0.1599300702727476","0.15802199552952365","0.16184909184090876"
"63","126","126","126","0.1579389706145548","0.15486802612781794","0.1612974220443931"
"64","128","128","128","0.1580821657371844","0.15444514569405227","0.15938078148894028"
"65","130","130","130","0.15803222252068033","0.15736218336728386","0.15852106682930925"
"66","132","132","132","0.15898561455652277","0.15616223221657707","0.1647329144172176"
"67","134","134","134","0.15688941042824797","0.1554825108245582","0.15849684988016333"
"68","136","136","136","0.15605547970016423","0.15551019440070218","0.15655220692125246"
"69","138","138","138","0.15665955646873722","0.1545590872685817","0.15894781778203773"
"70","140","140","140","0.15576371725825724","0.15466330785324592","0.15683650414394185"
"71","142","142","142","0.15515772911392628","0.1541154570069323","0.15724340253048238"
"72","144","144","144","0.1567784551151381","0.15501383079294465","0.1593911878615097"
"73","146","146","146","0.15586530549057223","0.15475402802230437","0.157750007187015"
"74","148","148","148","0.1561039996692056","0.1529924241294487","0.15811380490956145"
"75","150","150","150","0.15376833522590783","0.15156988176883168","0.1568694989212026"
"76","152","152","152","0.15426639070708434","0.1510094132027326","0.1572356517157221"
"77","154","154","154","0.15451617487211888","0.15244142098756627","0.1587200818375701"
"78","156","156","156","0.15483454414393413","0.1510687023660256","0.15785456789711796"
"79","158","158","158","0.15285333659674777","0.15099289216358538","0.155468102468166"
"80","160","160","160","0.15404764773235877","0.15269195072170413","0.15532059248270422"
"81","162","162","162","0.15238164959138006","0.1507669217866908","0.154065963495586"
"82","164","164","164","0.1547036647179145","0.1525488005109128","0.15708118597298762"
