"epoch","Name: hopfield_full - _step","Name: hopfield_full - _step__MIN","Name: hopfield_full - _step__MAX","Name: hopfield_full - ci_val","Name: hopfield_full - ci_val__MIN","Name: hopfield_full - ci_val__MAX"
"35","70","70","70","0.8261970214646647","0.8238489646175108","0.8285487518117762"
"36","72","72","72","0.8264459448138155","0.8228670251699242","0.8305371572476268"
"37","74","74","74","0.8282554589996369","0.8265431071072209","0.8294028691860994"
"38","76","76","76","0.8288499895470889","0.8247868139148002","0.8332267757590353"
"39","78","78","78","0.8293182407069297","0.8244086770875867","0.8321145433407202"
"40","80","80","80","0.8312563731102454","0.8280108112142425","0.8327922474474173"
"41","82","82","82","0.8328145619960324","0.8299959599624515","0.8393031830743194"
"42","84","84","84","0.8338145439806608","0.8313796522800807","0.8369215987660487"
"43","86","86","86","0.8357603917282456","0.8338718861954302","0.8396446937237406"
"44","88","88","88","0.836248358074854","0.8324493215441809","0.8410436684961623"
"45","90","90","90","0.8386030369116677","0.8346634297698019","0.8432145757202799"
"46","92","92","92","0.838142499997687","0.8343027137817496","0.8409448418769563"
"47","94","94","94","0.8402392933714496","0.8362774935479275","0.8433130744082908"
"48","96","96","96","0.8424508668917845","0.8380267574082852","0.845872605376958"
"49","98","98","98","0.8432467906951964","0.8393718181224229","0.8464847652404082"
"50","100","100","100","0.8444990656784593","0.8402780108236251","0.8499161272685724"
"51","102","102","102","0.8438162633740303","0.8374266841129836","0.8475899293661812"
"52","104","104","104","0.8460787890679973","0.842515741757234","0.8499822724668503"
"53","106","106","106","0.8460736857404777","0.8418683749040382","0.8498916724857237"
"54","108","108","108","0.8456405418855646","0.841495213501942","0.8477423195601727"
"55","110","110","110","0.8495334133658418","0.8454363524402441","0.8530380304041009"
"56","112","112","112","0.8491606679517048","0.8482093225128053","0.8503573824671616"
"57","114","114","114","0.8474597347638312","0.8454005641926515","0.8499745914045"
"58","116","116","116","0.8485652449294399","0.8468088775036706","0.8516356010755124"
"59","118","118","118","0.8502186896195972","0.8457196796601247","0.8538749259029393"
"60","120","120","120","0.8540695804910567","0.850772589723003","0.8566197551161194"
"61","122","122","122","0.8527129338425476","0.8487384773732217","0.8574659707388"
"62","124","124","124","0.8531692720351867","0.8499352670307235","0.8577525193422625"
"63","126","126","126","0.8532661675435437","0.8479672832479547","0.8598893900509941"
"64","128","128","128","0.8552857080621964","0.8491976748884198","0.8598254883194255"
"65","130","130","130","0.8545214499898975","0.8503392161764025","0.8592462182783629"
"66","132","132","132","0.8555686483918803","0.849967098701342","0.8586030579518052"
"67","134","134","134","0.8574147082797688","0.8529599355834915","0.8621454036520795"
"68","136","136","136","0.8556885091948147","0.8506926188595925","0.8607654415089495"
"69","138","138","138","0.8573090012700211","0.8539162770383368","0.8618053825182366"
"70","140","140","140","0.8570386089006137","0.8502324898016624","0.8617488423783746"
"71","142","142","142","0.8587728266950736","0.8560237084473458","0.8626104276183699"
"72","144","144","144","0.8600596313839464","0.8585821701370563","0.8610560178090135"
"73","146","146","146","0.8568923724756093","0.8541044487118258","0.8610272190478299"
"74","148","148","148","0.8591456611291578","0.8559741008947533","0.8621441355294192"
"75","150","150","150","0.8608621385196031","0.8562450190445212","0.8639984373216079"
"76","152","152","152","0.861361471875649","0.8594241630777982","0.8625514932378604"
"77","154","154","154","0.8614692807024757","0.8598170311386321","0.8640471276357651"
"78","156","156","156","0.8607316897606605","0.8574937485543566","0.8630572053735165"
"79","158","158","158","0.8609770238692122","0.8600511847624756","0.86216624598199"
"80","160","160","160","0.8611915260589396","0.8586881451214216","0.8619481115818011"
"81","162","162","162","0.8617762295309888","0.8593165578899199","0.8629670041143938"
"82","164","164","164","0.8618691272283161","0.859336476210788","0.8638454090594875"
"83","166","166","166","0.862988571455624","0.8603846380169043","0.8646361905235682"
